Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-12-06,9:20 AM,41 °F,32 °F,70 %,NNW,12 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-06,9:24 AM,41 °F,32 °F,70 %,NNW,14 mph,0 mph,29.96 in,0.0 in,
2017-12-06,9:50 AM,39 °F,34 °F,81 %,N,13 mph,0 mph,29.96 in,0.0 in,
2017-12-06,10:20 AM,39 °F,34 °F,81 %,N,9 mph,0 mph,29.96 in,0.0 in,
2017-12-06,10:50 AM,41 °F,32 °F,70 %,WNW,6 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-06,11:20 AM,45 °F,34 °F,66 %,VAR,5 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-06,11:50 AM,43 °F,32 °F,66 %,NNW,14 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-06,12:20 PM,45 °F,32 °F,61 %,N,9 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-06,12:50 PM,45 °F,32 °F,61 %,NNW,8 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,1:20 PM,43 °F,34 °F,70 %,NE,9 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,1:50 PM,43 °F,34 °F,70 %,VAR,5 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,2:20 PM,45 °F,32 °F,61 %,VAR,3 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,2:50 PM,45 °F,30 °F,57 %,W,8 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,3:20 PM,46 °F,30 °F,53 %,W,8 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2017-12-06,3:50 PM,46 °F,30 °F,53 %,W,8 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2017-12-06,4:20 PM,45 °F,32 °F,61 %,W,13 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2017-12-06,4:50 PM,45 °F,32 °F,61 %,W,10 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,5:20 PM,43 °F,27 °F,53 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,5:50 PM,43 °F,28 °F,57 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,6:20 PM,43 °F,28 °F,57 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,6:50 PM,45 °F,30 °F,57 %,WSW,10 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-06,7:20 PM,45 °F,30 °F,57 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,7:50 PM,43 °F,30 °F,61 %,W,9 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,8:20 PM,45 °F,30 °F,57 %,W,8 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,8:50 PM,43 °F,30 °F,61 %,W,8 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,9:20 PM,43 °F,30 °F,61 %,W,6 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,9:50 PM,43 °F,30 °F,61 %,W,5 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,10:20 PM,45 °F,32 °F,61 %,W,6 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,10:50 PM,45 °F,32 °F,61 %,W,8 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,11:20 PM,45 °F,34 °F,66 %,W,7 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,11:50 PM,45 °F,34 °F,66 %,WNW,7 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-07,12:20 AM,45 °F,36 °F,71 %,W,6 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-07,12:50 AM,46 °F,37 °F,71 %,W,8 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-07,1:20 AM,46 °F,37 °F,71 %,WSW,12 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-07,1:50 AM,46 °F,37 °F,71 %,WSW,14 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-07,2:20 AM,46 °F,37 °F,71 %,WSW,10 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-07,2:50 AM,46 °F,37 °F,71 %,W,12 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-07,3:20 AM,46 °F,37 °F,71 %,W,10 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,3:50 AM,46 °F,36 °F,66 %,W,10 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,4:20 AM,46 °F,36 °F,66 %,W,8 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,4:50 AM,45 °F,36 °F,71 %,W,3 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,5:20 AM,46 °F,37 °F,71 %,W,10 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,5:50 AM,46 °F,37 °F,71 %,W,8 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,6:20 AM,45 °F,37 °F,76 %,W,8 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,6:50 AM,45 °F,36 °F,71 %,W,9 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,7:20 AM,45 °F,34 °F,66 %,W,8 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-07,7:50 AM,45 °F,34 °F,66 %,WNW,7 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-07,8:20 AM,45 °F,34 °F,66 %,W,6 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-07,8:50 AM,45 °F,34 °F,66 %,W,6 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-07,9:20 AM,45 °F,36 °F,71 %,W,3 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,9:50 AM,46 °F,36 °F,66 %,W,7 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,10:20 AM,46 °F,36 °F,66 %,W,7 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,10:50 AM,48 °F,36 °F,62 %,WSW,14 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,11:20 AM,48 °F,36 °F,62 %,WSW,13 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,11:50 AM,48 °F,34 °F,57 %,WSW,10 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,12:20 PM,48 °F,34 °F,57 %,WSW,10 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,12:50 PM,48 °F,34 °F,57 %,WSW,10 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,1:20 PM,48 °F,34 °F,57 %,WSW,12 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,1:50 PM,50 °F,34 °F,54 %,WSW,13 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-07,2:20 PM,50 °F,36 °F,58 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-07,2:50 PM,50 °F,36 °F,58 %,WSW,13 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,3:20 PM,52 °F,36 °F,54 %,WSW,13 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,3:50 PM,52 °F,37 °F,58 %,WSW,10 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,4:20 PM,52 °F,37 °F,58 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,4:50 PM,52 °F,37 °F,58 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,5:20 PM,50 °F,37 °F,62 %,SW,12 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,5:50 PM,50 °F,37 °F,62 %,WSW,9 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,6:20 PM,50 °F,37 °F,62 %,SW,8 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,6:50 PM,50 °F,39 °F,66 %,SW,8 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,7:20 PM,50 °F,39 °F,66 %,SW,8 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,7:50 PM,50 °F,39 °F,66 %,SW,8 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-07,8:20 PM,50 °F,39 °F,66 %,SW,9 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
2017-12-07,8:50 PM,48 °F,39 °F,71 %,S,6 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
2017-12-07,9:20 PM,48 °F,39 °F,71 %,S,7 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
2017-12-07,9:50 PM,46 °F,39 °F,76 %,S,6 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
2017-12-07,10:20 PM,46 °F,39 °F,76 %,S,7 mph,0 mph,29.99 in,0.0 in,Fair
2017-12-07,10:50 PM,46 °F,39 °F,76 %,S,7 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-07,11:20 PM,46 °F,37 °F,71 %,SSW,3 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-07,11:50 PM,45 °F,37 °F,76 %,SSE,3 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-08,12:20 AM,46 °F,39 °F,76 %,VAR,1 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-08,12:50 AM,45 °F,37 °F,76 %,S,3 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-08,1:20 AM,46 °F,37 °F,71 %,S,5 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-08,1:50 AM,46 °F,37 °F,71 %,S,6 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-08,2:20 AM,46 °F,37 °F,71 %,S,6 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-08,2:50 AM,46 °F,37 °F,71 %,S,7 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-08,3:20 AM,45 °F,39 °F,81 %,VAR,2 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-08,3:50 AM,45 °F,37 °F,76 %,S,3 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,4:20 AM,45 °F,37 °F,76 %,SSW,3 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,4:50 AM,45 °F,37 °F,76 %,WSW,5 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,5:20 AM,45 °F,37 °F,76 %,VAR,2 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,5:50 AM,45 °F,37 °F,76 %,S,5 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,6:20 AM,45 °F,37 °F,76 %,S,5 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,6:50 AM,46 °F,36 °F,66 %,S,7 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,7:20 AM,46 °F,36 °F,66 %,S,7 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,7:50 AM,46 °F,37 °F,71 %,S,6 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,8:20 AM,46 °F,37 °F,71 %,SSW,5 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,8:50 AM,46 °F,36 °F,66 %,SSW,6 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,9:20 AM,46 °F,37 °F,71 %,SSE,8 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,9:50 AM,48 °F,39 °F,71 %,S,7 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,10:20 AM,50 °F,37 °F,62 %,S,9 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,10:50 AM,52 °F,37 °F,58 %,S,10 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,11:20 AM,52 °F,37 °F,58 %,SSW,12 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-08,11:50 AM,54 °F,37 °F,54 %,SSW,10 mph,0 mph,29.90 in,0.0 in,Fair
2017-12-08,12:20 PM,54 °F,36 °F,51 %,S,10 mph,0 mph,29.90 in,0.0 in,Fair
2017-12-08,12:50 PM,55 °F,37 °F,51 %,SSW,7 mph,0 mph,29.90 in,0.0 in,Fair
2017-12-08,1:20 PM,55 °F,37 °F,51 %,SW,10 mph,0 mph,29.87 in,0.0 in,Fair
2017-12-08,1:50 PM,55 °F,37 °F,51 %,SSW,12 mph,0 mph,29.87 in,0.0 in,Fair
2017-12-08,2:20 PM,57 °F,37 °F,48 %,SW,12 mph,0 mph,29.87 in,0.0 in,Fair
2017-12-08,2:50 PM,57 °F,34 °F,41 %,WSW,14 mph,0 mph,29.84 in,0.0 in,Fair
2017-12-08,3:20 PM,55 °F,37 °F,51 %,SW,13 mph,0 mph,29.84 in,0.0 in,Fair
2017-12-08,3:50 PM,55 °F,39 °F,54 %,SW,10 mph,0 mph,29.84 in,0.0 in,Fair
2017-12-08,4:20 PM,55 °F,41 °F,58 %,SW,12 mph,0 mph,29.84 in,0.0 in,Fair
2017-12-08,4:50 PM,55 °F,39 °F,54 %,SW,9 mph,0 mph,29.84 in,0.0 in,Fair
2017-12-08,5:20 PM,54 °F,39 °F,58 %,SW,8 mph,0 mph,29.84 in,0.0 in,Fair
2017-12-08,5:50 PM,52 °F,41 °F,67 %,SW,6 mph,0 mph,29.84 in,0.0 in,Fair
2017-12-08,6:20 PM,52 °F,39 °F,62 %,SW,5 mph,0 mph,29.84 in,0.0 in,Fair
2017-12-08,6:50 PM,50 °F,41 °F,71 %,SSE,3 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-08,7:20 PM,48 °F,43 °F,82 %,VAR,2 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-08,7:50 PM,50 °F,39 °F,66 %,SSW,6 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-08,8:20 PM,50 °F,41 °F,71 %,S,5 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-08,8:50 PM,48 °F,39 °F,71 %,S,3 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-08,9:20 PM,50 °F,39 °F,66 %,SSW,6 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-08,9:50 PM,50 °F,39 °F,66 %,SSW,6 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-08,10:20 PM,50 °F,39 °F,66 %,WSW,5 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-08,10:50 PM,48 °F,39 °F,71 %,VAR,1 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-08,11:20 PM,48 °F,39 °F,71 %,S,5 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-08,11:50 PM,48 °F,41 °F,76 %,SSW,5 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-09,12:20 AM,50 °F,41 °F,71 %,SSW,5 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-09,12:50 AM,48 °F,39 °F,71 %,SW,5 mph,0 mph,29.81 in,0.0 in,Fair
2017-12-09,1:20 AM,50 °F,39 °F,66 %,SW,5 mph,0 mph,29.78 in,0.0 in,Fair
2017-12-09,1:50 AM,46 °F,39 °F,76 %,SW,3 mph,0 mph,29.78 in,0.0 in,Fair
2017-12-09,2:20 AM,46 °F,39 °F,76 %,SW,3 mph,0 mph,29.78 in,0.0 in,Fair
2017-12-09,2:50 AM,46 °F,39 °F,76 %,SW,7 mph,0 mph,29.78 in,0.0 in,Fair
2017-12-09,3:20 AM,48 °F,39 °F,71 %,SSW,7 mph,0 mph,29.78 in,0.0 in,Fair
2017-12-09,3:50 AM,48 °F,39 °F,71 %,SSW,5 mph,0 mph,29.78 in,0.0 in,Fair
2017-12-09,4:20 AM,48 °F,39 °F,71 %,SSW,8 mph,0 mph,29.75 in,0.0 in,Fair
2017-12-09,4:50 AM,48 °F,39 °F,71 %,SSW,6 mph,0 mph,29.75 in,0.0 in,Fair
2017-12-09,5:20 AM,48 °F,39 °F,71 %,SSW,8 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,5:50 AM,48 °F,39 °F,71 %,SW,8 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,6:20 AM,50 °F,39 °F,66 %,SSW,7 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,6:50 AM,50 °F,37 °F,62 %,SSW,7 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,7:20 AM,48 °F,37 °F,66 %,SW,6 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,7:50 AM,48 °F,39 °F,71 %,S,7 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,8:20 AM,46 °F,37 °F,71 %,VAR,2 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,8:50 AM,46 °F,37 °F,71 %,VAR,2 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,9:20 AM,50 °F,36 °F,58 %,S,5 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,9:50 AM,52 °F,36 °F,54 %,SE,7 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,10:20 AM,54 °F,34 °F,47 %,SSE,8 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,10:50 AM,55 °F,36 °F,47 %,SSE,6 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,11:20 AM,57 °F,34 °F,41 %,SSE,7 mph,0 mph,29.72 in,0.0 in,Fair
2017-12-09,11:50 AM,57 °F,36 °F,44 %,SSE,13 mph,0 mph,29.70 in,0.0 in,Mostly Cloudy
2017-12-09,12:20 PM,59 °F,36 °F,42 %,S,14 mph,0 mph,29.70 in,0.0 in,Mostly Cloudy
2017-12-09,12:50 PM,59 °F,37 °F,45 %,S,10 mph,0 mph,29.70 in,0.0 in,Mostly Cloudy
2017-12-09,1:20 PM,59 °F,37 °F,45 %,S,13 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
2017-12-09,1:50 PM,61 °F,36 °F,39 %,S,15 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
2017-12-09,2:20 PM,61 °F,37 °F,42 %,S,15 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
2017-12-09,2:50 PM,61 °F,37 °F,42 %,S,15 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2017-12-09,3:20 PM,61 °F,39 °F,45 %,SSW,10 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2017-12-09,3:50 PM,61 °F,41 °F,48 %,SSW,16 mph,0 mph,29.64 in,0.0 in,Partly Cloudy
2017-12-09,4:20 PM,61 °F,41 °F,48 %,SSW,14 mph,0 mph,29.64 in,0.0 in,Partly Cloudy
2017-12-09,4:50 PM,59 °F,43 °F,55 %,SSW,12 mph,0 mph,29.64 in,0.0 in,Partly Cloudy
2017-12-09,5:20 PM,59 °F,41 °F,51 %,SSW,14 mph,0 mph,29.64 in,0.0 in,Partly Cloudy
2017-12-09,5:50 PM,59 °F,41 °F,51 %,SSW,14 mph,0 mph,29.61 in,0.0 in,Partly Cloudy
